date,NVDA,AVGO,MSFT,META,JPM,XLF,XOM,SPY
2025-08-29,173.753891,295.2268677,502.5551453,736.2867432,295.7618713,53.16494751,111.0708694,637.980957
2025-09-02,170.3622131,296.0706482,500.9979553,732.7085571,294.0741577,52.77105713,111.4596024,633.253418
2025-09-03,170.2026062,300.1904907,501.2260742,734.6421509,293.8876953,52.68244171,108.7579041,636.6853027
2025-09-04,171.2400665,303.8734741,503.824707,746.2043457,298.1168213,53.23387909,109.234108,642.0064087
2025-09-05,166.6114197,332.4541016,490.9605408,749.9919434,288.8540039,52.25900269,106.1533966,640.1469727
2025-09-08,167.8982544,343.1358032,494.1344604,749.8423462,287.4115906,52.29839706,106.755928,641.7196045
2025-09-09,170.3422394,334.2211304,494.3427124,763.1986084,292.2588806,52.52488327,107.5333862,643.203125
2025-09-10,176.8962097,366.8818054,496.2867126,749.5234375,294.898407,52.34763336,109.3312836,645.0625
2025-09-11,176.7465515,357.0141602,496.9215088,748.4469604,299.8241577,53.20433426,108.9814301,650.4231567
2025-09-12,177.394989,357.2523499,505.7389221,753.1216431,301.1488342,52.97784805,109.0008698,650.2054443
2025-09-15,177.3251801,361.4416809,511.1543884,762.2019043,303.1014099,52.85968399,109.1855164,653.6671143
2025-09-16,174.4620361,357.3814087,504.8859558,776.4552002,303.3859863,52.74151993,111.4498901,652.7671509
2025-09-17,169.8829803,343.6520691,505.8579407,773.1858521,305.8979492,53.25357437,112.0427094,651.9561768
2025-09-18,175.8187866,342.8380127,504.3008118,777.7010498,307.3501587,53.30281067,110.7210083,655.0023193
2025-09-19,176.2477417,342.4309692,513.7033691,775.8372192,308.8710632,53.42097473,109.6422806,658.246521
2025-09-22,183.1711578,336.9019775,510.2518921,763.1751099,306.5750122,53.34984207,108.8647995,661.3607178
2025-09-23,178.00354,337.0511169,505.0744324,753.4404297,306.8693542,53.11272812,110.740448,657.7606201
2025-09-24,176.5470276,337.4190674,505.986908,758.6867676,307.5366516,52.96453857,111.3332596,655.6678467
2025-09-25,177.2653046,334.2269592,502.8923645,746.9672241,307.56604,52.82622528,112.3342514,652.6429443
2025-09-26,177.7640991,332.6656799,507.2861938,741.8206787,310.1270142,53.21152878,113.918335,656.382019
2025-09-29,181.4153595,326.0726624,510.4005432,741.4715576,309.7639771,53.47827911,111.0028458,658.2266846
2025-09-30,186.1340637,328.0714111,513.7232666,732.4749756,309.5088501,53.22140884,109.5742493,660.7061157
2025-10-01,186.7924805,331.5320435,515.4689331,715.479126,304.8774719,52.74718475,108.8356476,662.9575195
2025-10-02,188.4385376,336.2953491,511.531311,725.1639404,301.7767639,52.7076683,108.155365,663.7210693
2025-10-03,187.1715851,336.4842834,513.1281128,708.7167358,304.2102356,53.07321548,110.0698853,663.7112427
2025-10-06,185.0965424,333.6203613,524.2565918,713.8035278,304.8511047,53.05345535,110.9834061,666.0914917
2025-10-07,184.5977325,334.5352173,519.7039795,711.2302246,303.382019,53.122612,111.0417175,663.6219482
2025-10-08,188.6580048,343.5745239,520.5668945,715.9779053,299.7732239,52.86574173,110.8084793,667.5791626
2025-10-09,192.1097412,343.0971985,518.1369629,731.6072388,301.2521973,52.67803192,109.729744,665.6452026
2025-10-10,182.722229,322.8208618,506.7902832,703.4703979,296.6772156,51.53199768,107.611145,647.6542358
2025-10-13,187.8699036,354.7121582,509.855072,713.8433838,303.6580811,52.02597809,109.0786133,657.5919189
2025-10-14,179.5997162,342.2121887,509.3790283,706.8117065,297.8505249,52.59899521,109.1271973,656.7885742
